dmu_id,period,output_name,output_value
Entity_26,2025-07-31,output_2,730055
Entity_26,2025-07-31,output_1,149655
Entity_26,2025-11-30,output_2,69815.0
Entity_26,2025-11-30,output_1,15015.0
Entity_67,2025-03-31,output_2,539355
Entity_67,2025-03-31,output_1,89155
Entity_67,2025-07-31,output_2,52395.0
Entity_67,2025-07-31,output_1,89055
Entity_67,2025-11-30,output_2,46605.0
Entity_67,2025-11-30,output_1,90155
Entity_118,2025-03-31,output_2,381855
Entity_118,2025-03-31,output_1,89455
Entity_118,2025-07-31,output_2,381555
Entity_118,2025-07-31,output_1,8825.0
Entity_118,2025-11-30,output_2,36845.0
Entity_118,2025-11-30,output_1,90655
Entity_27,2025-03-31,output_2,674955
Entity_27,2025-03-31,output_1,50855
Entity_27,2025-07-31,output_2,641355
Entity_27,2025-07-31,output_1,38855
Entity_27,2025-11-30,output_2,642255
Entity_27,2025-11-30,output_1,2905.0
Entity_53,2025-03-31,output_2,254355
Entity_53,2025-03-31,output_1,4765.0
Entity_53,2025-07-31,output_2,24275.0
Entity_53,2025-07-31,output_1,4765.0
Entity_53,2025-11-30,output_2,235255
Entity_53,2025-11-30,output_1,47055
Entity_70,2025-03-31,output_2,50505.0
Entity_70,2025-03-31,output_1,89255
Entity_70,2025-07-31,output_2,515955
Entity_70,2025-07-31,output_1,8795.0
Entity_70,2025-11-30,output_2,534155
Entity_70,2025-11-30,output_1,8805.0
Entity_11,2025-03-31,output_2,72455.0
Entity_11,2025-03-31,output_1,7625.0
Entity_11,2025-07-31,output_2,688855
Entity_11,2025-07-31,output_1,76155
Entity_11,2025-11-30,output_2,71685.0
Entity_11,2025-11-30,output_1,77455
Entity_63,2025-03-31,output_2,318555
Entity_63,2025-03-31,output_1,2335.0
Entity_63,2025-07-31,output_2,32825.0
Entity_63,2025-07-31,output_1,2495.0
Entity_63,2025-11-30,output_2,33575.0
Entity_63,2025-11-30,output_1,27355
Entity_114,2025-03-31,output_2,51295.0
Entity_114,2025-03-31,output_1,58055
Entity_103,2025-07-31,output_2,49535.0
Entity_103,2025-07-31,output_1,6235.0
Entity_103,2025-11-30,output_2,466855
Entity_103,2025-11-30,output_1,63355
Entity_33,2025-03-31,output_2,149455
Entity_33,2025-03-31,output_1,17655
Entity_33,2025-07-31,output_2,14615.0
Entity_33,2025-07-31,output_1,1555.0
Entity_33,2025-11-30,output_2,146855
Entity_33,2025-11-30,output_1,17455
Entity_105,2025-03-31,output_2,669755
Entity_105,2025-03-31,output_1,8695.0
Entity_105,2025-07-31,output_2,643755
Entity_105,2025-07-31,output_1,8195.0
Entity_105,2025-11-30,output_2,632855
Entity_105,2025-11-30,output_1,82555
Entity_31,2025-03-31,output_2,49985.0
Entity_31,2025-03-31,output_1,8885.0
Entity_31,2025-07-31,output_2,49645.0
Entity_31,2025-07-31,output_1,9105.0
Entity_31,2025-11-30,output_2,48915.0
Entity_31,2025-11-30,output_1,91255
Entity_42,2025-03-31,output_2,119165.0
Entity_42,2025-03-31,output_1,105855
Entity_42,2025-07-31,output_2,120885.0
Entity_42,2025-07-31,output_1,10585.0
Entity_42,2025-11-30,output_2,1148855
Entity_42,2025-11-30,output_1,10605.0
Entity_5,2025-03-31,output_2,54505.0
Entity_5,2025-03-31,output_1,4255.0
Entity_5,2025-07-31,output_2,530255
Entity_5,2025-07-31,output_1,44355
Entity_5,2025-11-30,output_2,51535.0
Entity_5,2025-11-30,output_1,44755
Entity_62,2025-03-31,output_2,348255
Entity_62,2025-03-31,output_1,5595.0
Entity_62,2025-07-31,output_2,352755
Entity_62,2025-07-31,output_1,5565.0
Entity_62,2025-11-30,output_2,36345.0
Entity_62,2025-11-30,output_1,57355
Entity_44,2025-03-31,output_2,73655.0
Entity_44,2025-03-31,output_1,156855
Entity_44,2025-07-31,output_2,73055.0
Entity_44,2025-07-31,output_1,162655
Entity_44,2025-11-30,output_2,72935.0
Entity_44,2025-11-30,output_1,16465.0
Entity_99,2025-03-31,output_2,25615.0
Entity_99,2025-03-31,output_1,26455
Entity_99,2025-07-31,output_2,248155
Entity_99,2025-07-31,output_1,2585.0
Entity_99,2025-11-30,output_2,25315.0
Entity_99,2025-11-30,output_1,2495.0
Entity_37,2025-03-31,output_2,34155.0
Entity_37,2025-03-31,output_1,2975.0
Entity_37,2025-07-31,output_2,338955
Entity_37,2025-07-31,output_1,30755
Entity_37,2025-11-30,output_2,32955.0
Entity_37,2025-11-30,output_1,32055
Entity_23,2025-03-31,output_2,904755
Entity_23,2025-03-31,output_1,163855
Entity_23,2025-07-31,output_2,938355
Entity_23,2025-07-31,output_1,176055
Entity_23,2025-11-30,output_2,985855
Entity_23,2025-11-30,output_1,19315.0
Entity_93,2025-03-31,output_2,540055
Entity_93,2025-03-31,output_1,10505.0
Entity_93,2025-07-31,output_2,54155.0
Entity_93,2025-07-31,output_1,10025.0
Entity_93,2025-11-30,output_2,54135.0
Entity_93,2025-11-30,output_1,97655
Entity_41,2025-03-31,output_2,83005.0
Entity_41,2025-03-31,output_1,8245.0
Entity_41,2025-07-31,output_2,82685.0
Entity_41,2025-07-31,output_1,81355
Entity_41,2025-11-30,output_2,81485.0
Entity_41,2025-11-30,output_1,8215.0
Entity_55,2025-03-31,output_2,72085.0
Entity_55,2025-03-31,output_1,8555.0
Entity_55,2025-07-31,output_2,712755
Entity_55,2025-07-31,output_1,8605.0
Entity_55,2025-11-30,output_2,676355
Entity_55,2025-11-30,output_1,8565.0
Entity_52,2025-03-31,output_2,241655
Entity_52,2025-03-31,output_1,19955
Entity_52,2025-07-31,output_2,236455
Entity_52,2025-07-31,output_1,2025.0
Entity_52,2025-11-30,output_2,239355
Entity_52,2025-11-30,output_1,21755
Entity_14,2025-03-31,output_2,31255.0
Entity_14,2025-03-31,output_1,178455
Entity_14,2025-07-31,output_2,31335.0
Entity_14,2025-07-31,output_1,176255
Entity_14,2025-11-30,output_2,31695.0
Entity_14,2025-11-30,output_1,179055
Entity_98,2025-03-31,output_2,82235.0
Entity_98,2025-03-31,output_1,10085.0
Entity_98,2025-07-31,output_2,838755
Entity_98,2025-07-31,output_1,100955
Entity_98,2025-11-30,output_2,846755
Entity_98,2025-11-30,output_1,100955
Entity_71,2025-03-31,output_2,87395.0
Entity_71,2025-03-31,output_1,313055
Entity_71,2025-07-31,output_2,862255
Entity_71,2025-07-31,output_1,321655
Entity_71,2025-11-30,output_2,84165.0
Entity_71,2025-11-30,output_1,32635.0
Entity_50,2025-03-31,output_2,19135.0
Entity_50,2025-03-31,output_1,13255
Entity_50,2025-07-31,output_2,202955
Entity_50,2025-07-31,output_1,1355.0
Entity_50,2025-11-30,output_2,21815.0
Entity_50,2025-11-30,output_1,13955
Entity_9,2025-03-31,output_2,325555
Entity_9,2025-03-31,output_1,2585.0
Entity_9,2025-07-31,output_2,326455
Entity_9,2025-07-31,output_1,2575.0
Entity_9,2025-11-30,output_2,327855
Entity_9,2025-11-30,output_1,25255
Entity_86,2025-03-31,output_2,47165.0
Entity_86,2025-03-31,output_1,7395.0
Entity_86,2025-07-31,output_2,46825.0
Entity_86,2025-07-31,output_1,7655.0
Entity_86,2025-11-30,output_2,463555
Entity_86,2025-11-30,output_1,81255
Entity_25,2025-03-31,output_2,73595.0
Entity_25,2025-03-31,output_1,181355
Entity_25,2025-07-31,output_2,738455
Entity_25,2025-07-31,output_1,18455.0
Entity_25,2025-11-30,output_2,73515.0
Entity_25,2025-11-30,output_1,18885.0
Entity_58,2025-03-31,output_2,43445.0
Entity_58,2025-03-31,output_1,14885.0
Entity_58,2025-07-31,output_2,44345.0
Entity_58,2025-07-31,output_1,15155.0
Entity_58,2025-11-30,output_2,44845.0
Entity_58,2025-11-30,output_1,156555
Entity_1,2025-03-31,output_2,719255
Entity_1,2025-03-31,output_1,189455
Entity_1,2025-07-31,output_2,723255
Entity_1,2025-07-31,output_1,195355
Entity_1,2025-11-30,output_2,72445.0
Entity_1,2025-11-30,output_1,19765.0
Entity_22,2025-03-31,output_2,900355
Entity_22,2025-03-31,output_1,12005.0
Entity_22,2025-07-31,output_2,900555
Entity_22,2025-07-31,output_1,12325.0
Entity_22,2025-11-30,output_2,89735.0
Entity_22,2025-11-30,output_1,124955
Entity_80,2025-03-31,output_2,77755.0
Entity_80,2025-03-31,output_1,18675.0
Entity_80,2025-07-31,output_2,763355
Entity_80,2025-07-31,output_1,185955
Entity_80,2025-11-30,output_2,733555
Entity_80,2025-11-30,output_1,18565.0
Entity_2,2025-03-31,output_2,886655
Entity_2,2025-03-31,output_1,755
Entity_2,2025-07-31,output_2,83645.0
Entity_2,2025-07-31,output_1,55.0
Entity_2,2025-11-30,output_2,84535.0
Entity_2,2025-11-30,output_1,555
Entity_88,2025-03-31,output_2,92175.0
Entity_88,2025-03-31,output_1,12655.0
Entity_88,2025-07-31,output_2,92355.0
Entity_88,2025-07-31,output_1,132755
Entity_88,2025-11-30,output_2,93025.0
Entity_88,2025-11-30,output_1,134255
Entity_51,2025-03-31,output_2,908255
Entity_51,2025-03-31,output_1,77855
Entity_51,2025-07-31,output_2,91355.0
Entity_51,2025-07-31,output_1,75455
Entity_51,2025-11-30,output_2,833155
Entity_51,2025-11-30,output_1,7305.0
Entity_78,2025-03-31,output_2,1328055
Entity_78,2025-03-31,output_1,578355
Entity_78,2025-07-31,output_2,1356055
Entity_78,2025-07-31,output_1,58865.0
Entity_78,2025-11-30,output_2,137405.0
Entity_78,2025-11-30,output_1,597455
Entity_120,2025-03-31,output_2,375655
Entity_120,2025-03-31,output_1,5895.0
Entity_120,2025-07-31,output_2,34575.0
Entity_120,2025-07-31,output_1,5825.0
Entity_120,2025-11-30,output_2,33995.0
Entity_120,2025-11-30,output_1,5785.0
Entity_102,2025-03-31,output_2,1089955
Entity_102,2025-03-31,output_1,16105.0
Entity_102,2025-07-31,output_2,1120155
Entity_102,2025-07-31,output_1,16225.0
Entity_102,2025-11-30,output_2,114135.0
Entity_102,2025-11-30,output_1,144755
Entity_38,2025-03-31,output_2,154045.0
Entity_38,2025-03-31,output_1,222455
Entity_38,2025-07-31,output_2,151575.0
Entity_38,2025-07-31,output_1,18725.0
Entity_38,2025-11-30,output_2,1519555
Entity_38,2025-11-30,output_1,17065.0
Entity_77,2025-03-31,output_2,459755
Entity_77,2025-03-31,output_1,8995.0
Entity_77,2025-07-31,output_2,439455
Entity_77,2025-07-31,output_1,9035.0
Entity_77,2025-11-30,output_2,420555
Entity_77,2025-11-30,output_1,88555
Entity_4,2025-03-31,output_2,664255
Entity_4,2025-03-31,output_1,15365.0
Entity_4,2025-07-31,output_2,662255
Entity_4,2025-07-31,output_1,151855
Entity_4,2025-11-30,output_2,660755
Entity_4,2025-11-30,output_1,154055
Entity_35,2025-03-31,output_2,368755
Entity_35,2025-03-31,output_1,5785.0
Entity_35,2025-07-31,output_2,36725.0
Entity_35,2025-07-31,output_1,5825.0
Entity_35,2025-11-30,output_2,36715.0
Entity_35,2025-11-30,output_1,57755
Entity_91,2025-03-31,output_2,65185.0
Entity_91,2025-03-31,output_1,14895.0
Entity_91,2025-07-31,output_2,645155
Entity_91,2025-07-31,output_1,151655
Entity_91,2025-11-30,output_2,62725.0
Entity_91,2025-11-30,output_1,155955
Entity_87,2025-03-31,output_2,781155
Entity_87,2025-03-31,output_1,192255
Entity_87,2025-07-31,output_2,783255
Entity_87,2025-07-31,output_1,195955
Entity_87,2025-11-30,output_2,81385.0
Entity_87,2025-11-30,output_1,20135.0
Entity_95,2025-03-31,output_2,441055
Entity_95,2025-03-31,output_1,3615.0
Entity_95,2025-07-31,output_2,43415.0
Entity_95,2025-07-31,output_1,35855
Entity_95,2025-11-30,output_2,41055.0
Entity_95,2025-11-30,output_1,3555.0
Entity_115,2025-03-31,output_2,547155
Entity_115,2025-03-31,output_1,4855.0
Entity_115,2025-07-31,output_2,54415.0
Entity_115,2025-07-31,output_1,4605.0
Entity_115,2025-11-30,output_2,544255
Entity_115,2025-11-30,output_1,4535.0
Entity_82,2025-03-31,output_2,78685.0
Entity_82,2025-03-31,output_1,81755
Entity_82,2025-07-31,output_2,771155
Entity_82,2025-07-31,output_1,8075.0
Entity_82,2025-11-30,output_2,752055
Entity_82,2025-11-30,output_1,80655
Entity_12,2025-03-31,output_2,57695.0
Entity_12,2025-03-31,output_1,16025.0
Entity_12,2025-07-31,output_2,519855
Entity_12,2025-07-31,output_1,159655
Entity_12,2025-11-30,output_2,46055.0
Entity_12,2025-11-30,output_1,15415.0
Entity_96,2025-03-31,output_2,129925.0
Entity_96,2025-03-31,output_1,8485.0
Entity_96,2025-07-31,output_2,131815.0
Entity_96,2025-07-31,output_1,84855
Entity_96,2025-11-30,output_2,1352855
Entity_96,2025-11-30,output_1,86255
Entity_6,2025-03-31,output_2,758155
Entity_6,2025-03-31,output_1,7215.0
Entity_6,2025-07-31,output_2,778255
Entity_6,2025-07-31,output_1,7355.0
Entity_6,2025-11-30,output_2,783955
Entity_6,2025-11-30,output_1,70155
Entity_21,2025-03-31,output_2,69245.0
Entity_21,2025-03-31,output_1,189155
Entity_21,2025-07-31,output_2,658955
Entity_21,2025-07-31,output_1,190455
Entity_21,2025-11-30,output_2,66765.0
Entity_21,2025-11-30,output_1,20095.0
Entity_54,2025-03-31,output_2,1285555
Entity_54,2025-03-31,output_1,27625.0
Entity_54,2025-07-31,output_2,130025.0
Entity_54,2025-07-31,output_1,29855.0
Entity_54,2025-11-30,output_2,134675.0
Entity_54,2025-11-30,output_1,27035.0
Entity_60,2025-03-31,output_2,125055.0
Entity_60,2025-03-31,output_1,119955
Entity_60,2025-07-31,output_2,127385.0
Entity_60,2025-07-31,output_1,117655
Entity_60,2025-11-30,output_2,130345.0
Entity_60,2025-11-30,output_1,10885.0
Entity_49,2025-03-31,output_2,84405.0
Entity_49,2025-03-31,output_1,8265.0
Entity_49,2025-07-31,output_2,82995.0
Entity_49,2025-07-31,output_1,8005.0
Entity_49,2025-11-30,output_2,823055
Entity_49,2025-11-30,output_1,7575.0
Entity_43,2025-03-31,output_2,470655
Entity_43,2025-03-31,output_1,154855
Entity_43,2025-07-31,output_2,44705.0
Entity_43,2025-07-31,output_1,16455.0
Entity_43,2025-11-30,output_2,445955
Entity_43,2025-11-30,output_1,172355
Entity_24,2025-03-31,output_2,543655
Entity_24,2025-03-31,output_1,12625.0
Entity_24,2025-07-31,output_2,55425.0
Entity_24,2025-07-31,output_1,132355
Entity_24,2025-11-30,output_2,56315.0
Entity_24,2025-11-30,output_1,13525.0
Entity_116,2025-03-31,output_2,91745.0
Entity_116,2025-03-31,output_1,70755
Entity_116,2025-07-31,output_2,883155
Entity_116,2025-07-31,output_1,70655
Entity_116,2025-11-30,output_2,82335.0
Entity_116,2025-11-30,output_1,6805.0
Entity_59,2025-03-31,output_2,96715.0
Entity_59,2025-03-31,output_1,33975.0
Entity_59,2025-07-31,output_2,994755
Entity_59,2025-07-31,output_1,34335.0
Entity_59,2025-11-30,output_2,1045155
Entity_59,2025-11-30,output_1,344555
Entity_7,2025-03-31,output_2,508855
Entity_7,2025-03-31,output_1,10605.0
Entity_110,2025-07-31,output_2,50755.0
Entity_110,2025-07-31,output_1,11225.0
Entity_110,2025-11-30,output_2,502055
Entity_110,2025-11-30,output_1,117455
Entity_92,2025-03-31,output_2,600355
Entity_92,2025-03-31,output_1,39255
Entity_92,2025-07-31,output_2,61645.0
Entity_92,2025-07-31,output_1,38855
Entity_92,2025-11-30,output_2,63675.0
Entity_92,2025-11-30,output_1,40755
Entity_29,2025-03-31,output_2,327555
Entity_29,2025-03-31,output_1,27955
Entity_29,2025-07-31,output_2,330755
Entity_29,2025-07-31,output_1,29055
Entity_29,2025-11-30,output_2,33475.0
Entity_29,2025-11-30,output_1,30755
Entity_74,2025-03-31,output_2,49645.0
Entity_74,2025-03-31,output_1,7835.0
Entity_74,2025-07-31,output_2,49625.0
Entity_74,2025-07-31,output_1,78355
Entity_74,2025-11-30,output_2,49035.0
Entity_74,2025-11-30,output_1,78355
Entity_32,2025-03-31,output_2,104035.0
Entity_32,2025-03-31,output_1,24345.0
Entity_32,2025-07-31,output_2,103035.0
Entity_32,2025-07-31,output_1,24695.0
Entity_32,2025-11-30,output_2,101865.0
Entity_32,2025-11-30,output_1,246955
Entity_84,2025-03-31,output_2,52165.0
Entity_84,2025-03-31,output_1,123955
Entity_84,2025-07-31,output_2,515455
Entity_84,2025-07-31,output_1,126455
Entity_84,2025-11-30,output_2,51675.0
Entity_84,2025-11-30,output_1,12945.0
Entity_79,2025-03-31,output_2,72365.0
Entity_79,2025-03-31,output_1,12385.0
Entity_79,2025-07-31,output_2,704255
Entity_79,2025-07-31,output_1,12375.0
Entity_79,2025-11-30,output_2,676855
Entity_79,2025-11-30,output_1,121855
Entity_81,2025-03-31,output_2,788355
Entity_81,2025-03-31,output_1,223155
Entity_81,2025-07-31,output_2,79035.0
Entity_81,2025-07-31,output_1,23045.0
Entity_81,2025-11-30,output_2,783355
Entity_81,2025-11-30,output_1,23725.0
Entity_112,2025-03-31,output_2,67415.0
Entity_112,2025-03-31,output_1,6065.0
Entity_112,2025-07-31,output_2,634955
Entity_112,2025-07-31,output_1,5565.0
Entity_112,2025-11-30,output_2,625955
Entity_112,2025-11-30,output_1,59755
Entity_61,2025-03-31,output_2,412255
Entity_61,2025-03-31,output_1,6525.0
Entity_61,2025-07-31,output_2,41115.0
Entity_61,2025-07-31,output_1,66355
Entity_61,2025-11-30,output_2,391055
Entity_61,2025-11-30,output_1,6265.0
Entity_68,2025-03-31,output_2,571655
Entity_68,2025-03-31,output_1,107455
Entity_68,2025-07-31,output_2,57765.0
Entity_68,2025-07-31,output_1,10875.0
Entity_68,2025-11-30,output_2,564655
Entity_68,2025-11-30,output_1,111155
Entity_46,2025-03-31,output_2,48615.0
Entity_46,2025-03-31,output_1,65555
Entity_46,2025-07-31,output_2,49605.0
Entity_46,2025-07-31,output_1,64655
Entity_46,2025-11-30,output_2,496655
Entity_46,2025-11-30,output_1,6425.0
Entity_111,2025-03-31,output_2,549655
Entity_111,2025-03-31,output_1,7035.0
Entity_111,2025-07-31,output_2,55105.0
Entity_111,2025-07-31,output_1,7335.0
Entity_111,2025-11-30,output_2,55005.0
Entity_111,2025-11-30,output_1,75755
Entity_108,2025-03-31,output_2,326055
Entity_108,2025-03-31,output_1,34755
Entity_108,2025-07-31,output_2,28375.0
Entity_108,2025-07-31,output_1,3505.0
Entity_108,2025-11-30,output_2,27325.0
Entity_108,2025-11-30,output_1,34955
Entity_89,2025-03-31,output_2,71155.0
Entity_89,2025-03-31,output_1,219355
Entity_89,2025-07-31,output_2,73605.0
Entity_89,2025-07-31,output_1,19655.0
Entity_89,2025-11-30,output_2,734155
Entity_89,2025-11-30,output_1,17735.0
Entity_19,2025-03-31,output_2,347755
Entity_19,2025-03-31,output_1,164155
Entity_19,2025-07-31,output_2,32035.0
Entity_19,2025-07-31,output_1,162055
Entity_19,2025-11-30,output_2,30975.0
Entity_19,2025-11-30,output_1,146155
Entity_15,2025-03-31,output_2,105115.0
Entity_15,2025-03-31,output_1,73055
Entity_15,2025-07-31,output_2,1055955
Entity_15,2025-07-31,output_1,72455
Entity_15,2025-11-30,output_2,106215.0
Entity_15,2025-11-30,output_1,73555
Entity_48,2025-03-31,output_2,33515.0
Entity_48,2025-03-31,output_1,81955
Entity_48,2025-07-31,output_2,336555
Entity_48,2025-07-31,output_1,86055
Entity_48,2025-11-30,output_2,35785.0
Entity_48,2025-11-30,output_1,67655
Entity_119,2025-03-31,output_2,34865.0
Entity_119,2025-03-31,output_1,62955
Entity_119,2025-07-31,output_2,324155
Entity_119,2025-07-31,output_1,5785.0
Entity_119,2025-11-30,output_2,313155
Entity_119,2025-11-30,output_1,57155
Entity_72,2025-03-31,output_2,378655
Entity_72,2025-03-31,output_1,41555
Entity_72,2025-07-31,output_2,33035.0
Entity_72,2025-07-31,output_1,41555
Entity_72,2025-11-30,output_2,334755
Entity_72,2025-11-30,output_1,4225.0
Entity_85,2025-03-31,output_2,926355
Entity_85,2025-03-31,output_1,166255
Entity_85,2025-07-31,output_2,920655
Entity_85,2025-07-31,output_1,16535.0
Entity_85,2025-11-30,output_2,92575.0
Entity_85,2025-11-30,output_1,163755
Entity_76,2025-03-31,output_2,742455
Entity_76,2025-03-31,output_1,4985.0
Entity_76,2025-07-31,output_2,75375.0
Entity_76,2025-07-31,output_1,46755
Entity_76,2025-11-30,output_2,75295.0
Entity_76,2025-11-30,output_1,4875.0
Entity_64,2025-03-31,output_2,426155
Entity_64,2025-03-31,output_1,755.0
Entity_64,2025-07-31,output_2,42645.0
Entity_64,2025-07-31,output_1,7855
Entity_64,2025-11-30,output_2,44045.0
Entity_64,2025-11-30,output_1,665.0
Entity_34,2025-03-31,output_2,763855
Entity_34,2025-03-31,output_1,8005.0
Entity_34,2025-07-31,output_2,781755
Entity_34,2025-07-31,output_1,8155.0
Entity_34,2025-11-30,output_2,80865.0
Entity_34,2025-11-30,output_1,83355
Entity_30,2025-03-31,output_2,54055.0
Entity_30,2025-03-31,output_1,14625.0
Entity_30,2025-07-31,output_2,546655
Entity_30,2025-07-31,output_1,15265.0
Entity_30,2025-11-30,output_2,545555
Entity_30,2025-11-30,output_1,15535.0
Entity_107,2025-03-31,output_2,946755
Entity_107,2025-03-31,output_1,7235.0
Entity_107,2025-07-31,output_2,95625.0
Entity_107,2025-07-31,output_1,72655
Entity_107,2025-11-30,output_2,954355
Entity_107,2025-11-30,output_1,72955
Entity_97,2025-03-31,output_2,232025.0
Entity_97,2025-03-31,output_1,169855
Entity_97,2025-07-31,output_2,233675.0
Entity_97,2025-07-31,output_1,173355
Entity_97,2025-11-30,output_2,2359955
Entity_97,2025-11-30,output_1,175055
Entity_65,2025-03-31,output_2,984955
Entity_65,2025-03-31,output_1,16545.0
Entity_65,2025-07-31,output_2,98795.0
Entity_65,2025-07-31,output_1,167255
Entity_65,2025-11-30,output_2,975055
Entity_65,2025-11-30,output_1,16585.0
Entity_121,2025-03-31,output_2,82005.0
Entity_121,2025-03-31,output_1,161455
Entity_121,2025-07-31,output_2,81725.0
Entity_121,2025-07-31,output_1,153755
Entity_121,2025-11-30,output_2,810855
Entity_121,2025-11-30,output_1,15355.0
Entity_106,2025-03-31,output_2,956555
Entity_106,2025-03-31,output_1,54055
Entity_106,2025-07-31,output_2,968655
Entity_106,2025-07-31,output_1,5535.0
Entity_106,2025-11-30,output_2,969455
Entity_106,2025-11-30,output_1,56355
Entity_20,2025-03-31,output_2,114915.0
Entity_20,2025-03-31,output_1,264355
Entity_20,2025-07-31,output_2,1123955
Entity_20,2025-07-31,output_1,286655
Entity_20,2025-11-30,output_2,1108955
Entity_20,2025-11-30,output_1,297255
Entity_75,2025-03-31,output_2,1486955
Entity_75,2025-03-31,output_1,32615.0
Entity_75,2025-07-31,output_2,1497355
Entity_75,2025-07-31,output_1,34045.0
Entity_75,2025-11-30,output_2,152195.0
Entity_75,2025-11-30,output_1,35875.0
Entity_117,2025-03-31,output_2,55615.0
Entity_117,2025-03-31,output_1,40455
Entity_117,2025-07-31,output_2,57675.0
Entity_117,2025-07-31,output_1,25355
Entity_117,2025-11-30,output_2,572155
Entity_117,2025-11-30,output_1,23555
Entity_100,2025-03-31,output_2,124875.0
Entity_100,2025-03-31,output_1,252155
Entity_100,2025-07-31,output_2,116835.0
Entity_100,2025-07-31,output_1,257055
Entity_100,2025-11-30,output_2,106365.0
Entity_100,2025-11-30,output_1,25815.0
Entity_10,2025-03-31,output_2,822055
Entity_10,2025-03-31,output_1,2645.0
Entity_10,2025-07-31,output_2,80445.0
Entity_10,2025-07-31,output_1,28355
Entity_10,2025-11-30,output_2,767555
Entity_10,2025-11-30,output_1,3605.0
Entity_109,2025-03-31,output_2,1420655
Entity_109,2025-03-31,output_1,137655
Entity_109,2025-07-31,output_2,1461355
Entity_109,2025-07-31,output_1,134555
Entity_109,2025-11-30,output_2,1470755
Entity_109,2025-11-30,output_1,133555
Entity_17,2025-03-31,output_2,59745.0
Entity_17,2025-03-31,output_1,170455
Entity_17,2025-07-31,output_2,603855
Entity_17,2025-07-31,output_1,170055
Entity_17,2025-11-30,output_2,608855
Entity_17,2025-11-30,output_1,17205.0
Entity_36,2025-03-31,output_2,282755
Entity_36,2025-03-31,output_1,3875.0
Entity_36,2025-07-31,output_2,27715.0
Entity_36,2025-07-31,output_1,3635.0
Entity_36,2025-11-30,output_2,27955.0
Entity_36,2025-11-30,output_1,36055
Entity_90,2025-03-31,output_2,65435.0
Entity_90,2025-03-31,output_1,6365.0
Entity_90,2025-07-31,output_2,665155
Entity_90,2025-07-31,output_1,6415.0
